Id,Target,N1,N2,N3,N4,N5,N6,C1,C2,C3,C4,C5,C6,C7,C8,C9
10783,2514000,2679166.667,4,1.6,6.0,2.0,3.0,3,A,F,V,B,L,Z,9,4
10784,2684000,2802380.952,9,2.0,2.0,7.0,3.0,2,A,F,K,BG,S,L,G,B
10785,1225000,1622222.222,10,2.0,4.0,7.0,8.0,1,A,F,K,B,S,K,L,1
10786,4456000,5660975.61,6,2.5,5.0,4.0,2.0,1,A,A,V,B,U,4,S,4
10787,2500000,2246428.571,10,2.0,5.0,7.0,8.0,2,M,F,V,B,S,S,B,1
10788,5705000,6243678.161,3,2.5,6.0,5.0,3.0,1,A,F,V,B,S,X,W,7
10789,5200000,5701190.476,11,3.0,3.0,1.0,9.0,2,A,A,K,D,V,J,N,1
10790,1100000,1523076.923,12,1.8,6.0,1.0,5.0,1,M,F,V,D,U,W,F,0
10791,4455000,5219753.086,9,3.0,4.0,7.0,0.0,1,A,A,K,B,V,J,M,Y
10792,2187000,2624358.974,13,2.4,4.0,1.0,1.0,1,A,F,V,B,S,4,T,1
10793,3240000,3543529.412,8,2.0,6.0,1.0,7.0,2,A,A,V,B,C,S,J,N
10794,2912000,3223333.333,9,2.4,5.0,7.0,7.0,3,A,F,V,B,S,6,T,1
10795,1536000,1728205.128,15,3.0,6.0,7.0,0.0,1,A,F,V,B,S,J,N,1
10796,3840000,3918947.368,2,1.6,5.0,1.0,0.0,3,A,F,V,B,L,U,5,Y
10797,2113000,1967073.171,12,2.4,1.0,6.0,9.0,1,M,F,V,B,C,K,M,H
10798,4050000,4148888.889,3,1.8,6.0,7.0,4.0,3,A,A,V,B,C,T,M,B
10799,2300000,2691463.415,8,1.5,1.0,0.0,7.0,1,A,F,V,B,L,J,T,D
10800,3942000,4360465.116,12,3.3,6.0,6.0,4.0,1,A,A,K,BG,C,2,T,2
10801,1908000,2104545.455,10,1.6,7.0,9.0,0.0,1,M,F,K,BG,S,K,M,H
10802,2741000,2765263.158,3,1.6,9.0,4.0,7.0,3,A,F,V,BG,S,Z,9,4
10803,5005000,5577777.778,3,2.0,6.0,4.0,4.0,1,A,A,K,B,C,K,M,H
10804,2427000,2890361.446,5,1.6,5.0,8.0,2.0,1,A,F,V,B,S,X,9,F
10805,3134000,3730952.381,9,3.5,3.0,2.0,0.0,2,A,F,K,B,S,J,T,N
10806,4530000,5044444.444,8,3.5,5.0,7.0,2.0,3,A,F,K,B,S,J,T,H
10807,4811000,4991025.641,5,2.5,6.0,5.0,2.0,1,A,A,V,B,C,J,F,2
10808,2129000,2556410.256,9,1.6,1.0,8.0,9.0,1,A,F,V,B,S,J,T,N
10809,2200000,2624418.605,12,3.5,3.0,1.0,7.0,1,A,F,K,B,S,1,N,4
10810,1416000,1536144.578,15,2.2,5.0,7.0,6.0,1,A,F,V,BG,M,W,O,L
10811,3870000,4764634.146,4,1.6,3.0,9.0,6.0,1,A,F,V,B,C,S,J,N
10812,2842000,2938095.238,1,1.6,2.0,9.0,3.0,2,M,F,V,B,S,X,W,8
10813,2205000,2538461.538,14,2.4,8.0,5.0,6.0,1,A,F,V,B,S,4,T,1
10814,2109000,2497590.361,10,2.0,4.0,3.0,1.0,1,A,F,K,B,S,W,V,W
10815,2331000,2648809.524,4,1.6,8.0,7.0,7.0,2,A,F,V,B,L,Z,9,4
10816,4938000,4507000.0,5,2.5,6.0,3.0,9.0,3,A,F,K,B,S,J,T,N
10817,3300000,3396428.571,3,1.6,4.0,9.0,2.0,2,M,F,V,B,C,S,J,N
10818,3500000,4171764.706,3,1.6,7.0,0.0,9.0,2,A,F,V,B,C,S,J,N
10819,2059000,2827631.579,15,3.0,0.0,9.0,6.0,1,A,F,K,BG,S,J,T,H
10820,1277000,2150000.0,14,2.4,7.0,1.0,1.0,1,M,F,V,B,S,W,A,U
10821,2085000,2504878.049,10,1.6,6.0,8.0,8.0,1,A,F,V,BG,S,J,T,N
10822,2217000,2412195.122,9,2.0,3.0,5.0,1.0,1,A,F,V,B,S,J,M,B
10823,2403000,2521052.632,5,1.6,3.0,5.0,1.0,3,A,F,V,B,S,Z,9,4
10824,2193000,2350561.798,5,1.6,7.0,8.0,9.0,2,A,F,V,B,S,Z,9,4
10825,1750000,2043820.225,8,1.6,1.0,1.0,8.0,2,M,F,V,B,S,K,M,H
10826,3301000,3518888.889,11,3.2,2.0,1.0,2.0,3,A,A,K,B,C,W,V,G
10827,6345000,6865934.066,2,2.5,2.0,1.0,7.0,1,A,F,K,B,S,X,W,7
10828,2730000,3552564.103,1,1.6,7.0,0.0,5.0,1,M,F,V,B,S,X,W,8
10829,2251000,2514130.435,4,1.4,3.0,3.0,5.0,3,A,F,V,B,S,Z,9,4
10830,1500000,2440963.855,14,2.0,1.0,7.0,8.0,1,A,B,K,B,S,W,D,B
10831,970000,1541025.641,11,1.5,0.0,2.0,6.0,1,M,F,V,B,S,S,J,N
10832,2500000,2118888.889,3,1.6,1.0,1.0,5.0,3,A,F,V,B,L,X,7,L
10833,2268000,2838554.217,11,2.4,1.0,9.0,4.0,1,A,F,K,B,S,6,T,1
10834,2221000,3121518.987,10,2.5,9.0,0.0,1.0,2,A,A,K,B,U,J,F,1
10835,3629000,3978260.87,2,1.6,4.0,5.0,9.0,3,A,F,V,B,S,K,N,A
10836,8800000,10047191.01,7,3.5,4.0,9.0,2.0,2,A,B,K,B,S,W,D,D
10837,5607000,5985263.158,4,2.5,7.0,2.0,0.0,3,A,F,K,BG,S,J,T,N
10838,741000,1392592.593,12,2.0,9.0,5.0,1.0,1,A,F,K,G,S,K,M,H
10839,2745000,2434444.444,2,1.4,5.0,1.0,8.0,3,M,F,V,BG,L,Z,9,4
10840,3023000,3512048.193,9,2.4,4.0,5.0,9.0,1,A,F,K,BG,S,4,T,1
10841,1289000,1434523.81,8,1.7,5.0,1.0,3.0,2,M,A,K,B,V,X,9,L
10842,1300000,1450000.0,19,2.0,5.0,0.0,7.0,1,A,B,V,B,S,W,D,B
10843,4725000,5046666.667,8,3.5,1.0,7.0,9.0,3,A,F,K,BG,S,J,T,H
10844,5034000,5845121.951,4,2.4,4.0,6.0,3.0,1,A,A,V,B,C,J,M,B
10845,8520000,9264102.564,8,4.0,5.0,1.0,7.0,1,A,A,V,BG,V,J,T,E
10846,8210000,9314285.714,6,2.7,3.0,8.0,8.0,2,A,A,K,BG,V,J,T,E
10847,2474000,2665476.19,3,1.6,2.0,1.0,4.0,2,M,F,V,B,S,K,L,1
10848,8500000,5905555.556,11,4.8,0.0,6.0,1.0,3,M,A,V,B,V,J,N,1
10849,2794000,3106172.84,10,2.4,8.0,1.0,9.0,1,M,F,V,B,S,J,T,N
10850,1100000,1428048.78,19,2.4,9.0,8.0,0.0,1,M,F,V,B,S,W,A,U
10851,2249000,2667901.235,11,2.4,6.0,7.0,2.0,1,A,F,V,B,S,4,T,1
10852,2560000,3596153.846,10,2.5,2.0,7.0,5.0,1,M,A,V,B,U,4,S,4
10853,2109000,2538271.605,12,2.4,8.0,2.0,5.0,1,A,F,V,B,S,J,T,D
10854,5233000,5723076.923,3,2.0,6.0,4.0,2.0,3,A,A,V,B,C,U,5,Y
10855,2600000,2890476.19,10,3.5,0.0,4.0,4.0,2,A,A,K,B,C,K,N,D
10856,3023000,3762820.513,8,2.4,6.0,0.0,0.0,1,A,F,V,BG,S,6,T,1
10857,1400000,1919277.108,15,1.4,4.0,1.0,2.0,1,A,F,V,B,L,S,H,H
10858,6000000,6559756.098,3,1.6,2.0,1.0,1.0,1,A,B,B,B,S,W,D,D
10859,1636000,1628571.429,5,1.6,4.0,0.0,6.0,2,M,F,V,BG,S,K,L,1
10860,2138000,2741025.641,11,2.5,8.0,1.0,7.0,1,A,A,V,B,S,4,S,3
10861,3000000,3034523.81,3,1.6,9.0,7.0,2.0,2,M,F,V,B,L,T,M,B
10862,4598000,5553488.372,4,2.5,3.0,1.0,1.0,1,A,F,V,B,S,4,T,1
10863,3506000,4010975.61,7,2.0,8.0,3.0,3.0,1,A,F,V,B,S,S,B,1
10864,3683000,4246428.571,10,3.6,6.0,1.0,3.0,2,A,A,K,BG,V,W,V,G
10865,2790000,2975555.556,4,1.6,0.0,4.0,0.0,3,M,F,V,B,S,K,M,H
10866,4038000,4553571.429,11,3.3,9.0,8.0,0.0,2,A,F,K,BG,C,J,T,J
10867,8807000,9542857.143,9,4.0,6.0,4.0,1.0,2,A,A,K,B,V,J,T,M
10868,1500000,2072368.421,15,2.2,9.0,7.0,8.0,1,A,B,V,B,S,W,B,A
10869,12390000,12133333.33,6,4.0,0.0,7.0,6.0,3,A,A,K,B,V,J,T,E
10870,3104000,3492592.593,11,3.3,5.0,8.0,3.0,1,A,F,K,B,S,J,T,H
10871,4466000,5100000.0,1,1.6,7.0,4.0,9.0,2,A,F,V,B,L,Z,8,N
10872,1913000,2200000.0,9,1.5,7.0,3.0,5.0,1,A,F,V,B,S,J,M,B
10873,3802000,4292307.692,9,2.4,8.0,1.0,2.0,1,A,A,V,B,C,J,T,M
10874,1500000,2322093.023,14,2.7,3.0,1.0,5.0,1,A,A,K,B,U,W,A,U
10875,3988000,4398850.575,4,1.4,1.0,8.0,7.0,1,A,F,V,B,S,W,V,W
10876,2820000,2932183.908,2,1.6,8.0,6.0,1.0,3,A,F,V,B,S,Z,8,N
10877,2183000,2627380.952,11,2.5,9.0,3.0,5.0,2,A,A,K,B,S,4,S,3
10878,4000000,4511688.312,9,3.3,7.0,7.0,4.0,1,A,F,V,BG,C,J,T,E
10879,2939000,3380952.381,9,2.4,1.0,6.0,5.0,2,A,F,V,B,S,J,T,N
10880,5763000,6780952.381,2,2.0,7.0,1.0,6.0,2,A,A,V,B,C,X,W,8
10881,6237000,6568965.517,8,3.5,8.0,0.0,6.0,1,A,A,V,B,C,J,T,E
10882,5859000,6063736.264,4,2.5,6.0,7.0,4.0,1,A,F,K,B,S,J,T,N
10883,4733000,4887234.043,6,2.5,4.0,7.0,7.0,2,A,A,K,B,U,J,F,1
10884,1932000,2144827.586,14,1.6,8.0,8.0,2.0,1,A,F,V,B,L,S,B,1
10885,1881000,2223809.524,11,2.0,9.0,6.0,9.0,2,A,F,V,B,S,W,V,W
10886,1604000,1765476.19,9,1.6,9.0,4.0,7.0,2,M,F,V,B,S,K,N,M
10887,3114000,3475641.026,9,2.4,9.0,1.0,4.0,1,A,F,V,B,S,4,T,1
10888,2900000,3183333.333,3,1.2,0.0,0.0,1.0,1,M,F,V,B,L,T,M,B
10889,2967000,3017857.143,2,1.4,6.0,7.0,7.0,2,A,F,V,B,S,Z,9,4
10890,3000000,3045205.479,6,1.6,8.0,3.0,1.0,1,A,F,V,B,L,K,N,A
10891,2220000,2464634.146,8,1.5,8.0,6.0,2.0,1,M,A,V,B,L,J,F,1
10892,2652000,3224390.244,10,2.4,3.0,8.0,8.0,1,M,F,V,B,S,J,T,N
10893,1451000,1690109.89,19,3.0,2.0,0.0,5.0,1,A,F,K,B,S,J,T,1
10894,2907000,3457692.308,9,2.4,5.0,6.0,6.0,1,A,F,V,B,S,4,T,1
10895,6030000,6197000.0,3,2.5,5.0,9.0,1.0,3,A,F,K,B,S,X,W,7
10896,2480000,2956626.506,4,1.6,9.0,4.0,2.0,1,A,F,V,B,S,K,N,A
10897,3240000,3545977.011,6,1.8,8.0,7.0,4.0,3,A,F,V,B,L,2,T,1
10898,4924000,5154736.842,8,3.0,7.0,3.0,7.0,3,A,A,K,D,C,W,V,G
10899,1900000,2291025.641,12,2.3,0.0,8.0,7.0,1,A,F,V,B,S,J,M,1
10900,2785000,3234523.81,9,2.4,6.0,1.0,4.0,2,A,F,V,B,S,J,T,N
10901,3500000,3550000.0,14,2.4,2.0,8.0,4.0,2,A,F,V,BG,M,J,T,E
10902,1894000,2111904.762,10,1.8,0.0,6.0,1.0,2,A,F,V,BG,S,2,T,1
10903,2284000,2563095.238,9,2.0,5.0,3.0,0.0,2,A,F,V,B,S,J,M,Y
10904,5000000,5291111.111,6,2.4,9.0,2.0,5.0,3,A,A,K,B,C,K,N,A
10905,4934000,6009411.765,2,1.2,9.0,0.0,4.0,2,M,F,V,B,C,S,J,N
10906,2693000,2814457.831,3,1.6,3.0,8.0,0.0,1,A,F,V,B,S,Z,9,4
10907,6014000,6604761.905,11,4.0,4.0,8.0,1.0,2,A,A,V,BG,V,J,T,E
10908,2869000,3241176.471,10,2.7,6.0,2.0,1.0,3,A,A,V,B,C,K,M,H
10909,1900000,2300000.0,4,1.4,5.0,5.0,9.0,1,M,F,V,B,S,Z,9,4
10910,3729000,4203703.704,2,1.6,7.0,4.0,0.0,2,A,F,V,B,S,K,M,H
10911,3300000,3521111.111,3,1.2,1.0,5.0,5.0,3,M,F,V,B,C,T,M,B
10912,1836000,2319047.619,14,2.2,2.0,0.0,4.0,2,A,B,K,D,S,W,D,B
10913,2200000,2714102.564,4,1.4,5.0,6.0,1.0,1,M,F,V,BG,S,Z,9,4
10914,3114000,3448809.524,9,3.5,8.0,0.0,3.0,2,A,F,V,B,S,4,T,1
10915,3813000,4140217.391,7,2.4,5.0,7.0,9.0,3,A,F,K,B,S,4,T,1
10916,2741000,2743157.895,3,1.6,9.0,4.0,7.0,3,A,F,V,BG,S,Z,9,4
10917,3573000,4000000.0,9,3.0,6.0,2.0,0.0,1,A,A,K,B,C,J,M,Y
10918,1700000,2534523.81,15,3.0,3.0,9.0,5.0,2,A,B,K,B,S,W,B,A
10919,3060000,3171578.947,14,3.0,2.0,9.0,1.0,3,A,A,K,B,C,5,U,X
10920,2783000,3233333.333,9,2.4,9.0,6.0,3.0,2,A,F,V,B,S,4,T,1
10921,3370000,3881395.349,8,3.5,0.0,1.0,8.0,1,A,F,K,B,S,J,T,N
10922,3363000,4098876.404,10,3.2,9.0,3.0,8.0,2,A,A,K,B,C,W,V,G
10923,2100000,2409523.81,3,1.4,2.0,5.0,3.0,2,A,F,V,B,L,Z,9,4
10924,2622000,3056410.256,4,1.8,9.0,3.0,8.0,1,A,F,V,B,S,X,U,F
10925,2185000,2555952.381,14,3.0,2.0,1.0,4.0,2,A,F,K,B,S,4,T,1
10926,2437000,2696551.724,4,1.6,6.0,2.0,8.0,1,A,F,V,B,S,Z,9,4
10927,4007000,4982051.282,2,1.6,9.0,4.0,8.0,1,A,F,V,B,C,S,J,N
10928,5800000,5807368.421,3,2.4,6.0,8.0,1.0,3,M,A,V,BG,C,K,N,A
10929,1300000,1259523.81,10,1.6,4.0,9.0,0.0,2,M,F,V,B,S,X,9,F
10930,7810000,7759000.0,2,2.4,3.0,6.0,7.0,3,A,A,K,B,C,K,M,H
10931,1400000,1427380.952,13,1.6,8.0,1.0,5.0,2,A,F,V,B,L,W,D,B
10932,1651000,1992592.593,9,1.6,9.0,8.0,1.0,1,A,F,B,B,L,J,N,1
10933,2660000,2775581.395,11,2.4,8.0,9.0,0.0,1,A,F,K,B,S,J,T,D
10934,5576000,5603296.703,3,2.5,8.0,4.0,1.0,3,A,A,V,BG,S,4,S,3
10935,2211000,2539325.843,2,1.6,0.0,8.0,1.0,2,M,F,V,B,S,Z,9,4
10936,1400000,1459523.81,13,1.6,1.0,9.0,7.0,2,A,F,V,B,L,W,D,B
10937,2128000,2586585.366,6,1.8,0.0,8.0,1.0,1,A,F,V,B,S,X,U,F
10938,2750000,3459756.098,12,2.4,7.0,2.0,9.0,1,A,A,B,B,C,S,H,S
10939,3000000,3198765.432,8,2.5,8.0,4.0,0.0,1,A,A,K,B,S,J,F,1
10940,5939000,6743157.895,2,2.5,9.0,2.0,7.0,3,A,F,V,B,S,X,W,7
10941,2500000,2464285.714,9,1.5,6.0,5.0,9.0,2,A,A,V,B,L,J,F,1
10942,2940000,3418072.289,9,2.4,6.0,6.0,6.0,1,A,F,K,B,S,4,T,1
10943,3175000,3765384.615,8,2.4,5.0,0.0,1.0,1,A,F,V,B,S,4,T,4
10944,3734000,4239534.884,7,1.8,0.0,7.0,4.0,1,A,F,K,H,L,J,T,D
10945,8593000,9456179.775,6,2.7,5.0,6.0,0.0,2,A,A,K,B,V,J,T,E
10946,6071000,6184523.81,10,4.5,8.0,0.0,3.0,2,M,A,V,B,V,J,T,E
10947,3038000,3509302.326,5,1.6,9.0,9.0,1.0,1,A,F,K,B,S,K,M,H
10948,1861000,2525925.926,10,2.0,7.0,7.0,1.0,1,A,F,V,B,S,J,N,1
10949,2200000,2292857.143,6,2.0,5.0,4.0,9.0,2,A,F,B,B,S,K,L,1
10950,1200000,1484523.81,11,1.6,9.0,2.0,4.0,2,A,F,V,B,L,V,F,3
10951,2300000,2737804.878,14,3.0,1.0,3.0,9.0,1,A,B,V,B,S,W,B,A
10952,5498000,6858441.558,5,2.0,1.0,3.0,9.0,1,A,A,V,B,C,J,T,M
10953,2851000,3310714.286,3,1.8,2.0,7.0,9.0,2,A,F,K,B,L,K,L,1
10954,2394000,2916666.667,2,1.6,7.0,1.0,9.0,2,A,F,V,B,S,X,W,8
10955,2256000,2757142.857,13,3.0,8.0,5.0,0.0,2,A,B,K,B,S,J,T,8
10956,1300000,1836986.301,14,3.0,6.0,2.0,3.0,1,A,F,V,B,S,J,N,1
10957,3542000,4061627.907,8,2.4,7.0,9.0,7.0,1,A,F,K,B,S,J,T,N
10958,4400000,4679761.905,4,2.0,4.0,2.0,9.0,2,A,A,B,B,C,T,M,A
10959,1629000,2005952.381,10,1.4,9.0,3.0,9.0,2,M,F,V,B,S,N,M,T
10960,2098000,2378651.685,5,1.4,4.0,7.0,2.0,2,A,F,V,B,S,Z,9,4
10961,5970000,7057303.371,2,2.5,7.0,3.0,1.0,2,A,F,K,B,S,X,W,7
10962,8807000,9542857.143,9,4.0,6.0,4.0,1.0,2,A,A,K,B,V,J,T,M
10963,2519000,3271794.872,10,2.4,5.0,6.0,9.0,1,A,F,V,BG,S,4,T,1
10964,5702000,6198901.099,3,2.5,8.0,9.0,1.0,1,A,F,K,B,S,X,W,7
10965,1700000,1784337.349,14,2.3,0.0,9.0,4.0,1,A,F,K,B,S,1,Y,V
10966,4000000,4471739.13,2,1.4,3.0,3.0,4.0,3,A,F,K,B,L,T,M,B
10967,4086000,4677906.977,8,3.0,5.0,1.0,3.0,1,A,A,K,B,S,W,D,B
10968,1800000,2193023.256,15,2.5,1.0,6.0,7.0,1,A,A,K,D,V,K,M,H
10969,1807000,2126923.077,17,3.0,5.0,1.0,3.0,1,A,A,V,BG,V,J,A,4
10970,2520000,3076923.077,4,1.4,0.0,1.0,4.0,1,A,F,V,B,S,Z,9,4
10971,3363000,4098876.404,10,3.2,9.0,3.0,8.0,2,A,A,K,B,C,W,V,G
10972,7161000,7902083.333,1,2.5,6.0,1.0,5.0,3,A,F,V,B,S,X,W,7
10973,2330000,2140243.902,9,2.0,9.0,5.0,8.0,1,A,F,V,B,S,V,F,3
10974,3800000,4352380.952,11,4.4,8.0,5.0,5.0,2,A,A,K,B,C,5,U,X
10975,1746000,1929761.905,4,1.4,6.0,0.0,6.0,2,A,F,V,B,S,K,L,1
10976,1475000,1764197.531,10,1.3,2.0,4.0,8.0,2,M,F,V,B,S,J,M,B
10977,5083000,6548780.488,2,1.8,4.0,8.0,1.0,1,A,F,B,B,L,T,M,B
10978,4950000,5420212.766,8,3.0,8.0,9.0,7.0,2,A,A,K,B,V,J,M,Y
10979,1700000,1711904.762,14,1.8,7.0,9.0,2.0,2,A,F,V,B,U,W,A,U
10980,3000000,3506976.744,10,2.5,2.0,7.0,6.0,1,M,A,K,B,U,J,F,1
10981,2160000,2435714.286,8,1.6,5.0,1.0,6.0,2,A,F,V,B,S,J,M,B
10982,9300000,10095238.1,6,3.0,5.0,4.0,7.0,2,A,A,K,B,V,5,U,X
10983,1303000,1613580.247,15,2.3,7.0,7.0,5.0,1,M,F,V,B,M,W,F,O
10984,4035000,4574157.303,5,2.5,9.0,1.0,5.0,2,A,F,K,B,S,Z,8,N
10985,2379000,2861627.907,14,3.5,5.0,9.0,3.0,1,A,A,K,B,C,J,A,4
10986,2245000,2839743.59,14,2.0,2.0,1.0,5.0,1,M,A,V,B,C,J,T,E
10987,1300000,1575000.0,10,1.3,2.0,4.0,8.0,2,M,F,V,B,S,J,M,B
10988,4145000,4740243.902,2,1.6,3.0,6.0,9.0,1,A,F,V,B,S,Z,8,N
10989,1593000,1562820.513,4,1.4,1.0,8.0,5.0,1,M,F,V,B,S,X,7,L
10990,6111000,6478160.92,8,3.3,8.0,7.0,3.0,1,A,A,V,H,C,J,T,E
10991,1704000,1995180.723,16,2.0,0.0,6.0,0.0,1,A,A,V,B,V,J,S,3
10992,1200000,1510227.273,13,1.8,7.0,7.0,9.0,1,A,F,K,B,S,3,V,W
10993,5737000,6800000.0,6,2.0,5.0,5.0,1.0,3,A,A,K,B,C,W,A,U
10994,2200000,2507692.308,17,3.0,1.0,1.0,0.0,1,A,A,K,B,C,J,T,6
10995,1238000,1551898.734,14,2.8,3.0,8.0,7.0,2,M,F,K,BG,S,W,V,W
10996,1200000,1529268.293,14,1.6,1.0,5.0,8.0,1,M,F,V,B,L,W,V,W
10997,1500000,1882142.857,15,2.4,6.0,6.0,9.0,2,A,F,V,B,U,W,A,U
10998,3392000,3487654.321,11,3.3,1.0,2.0,0.0,1,A,F,K,B,S,J,T,H
10999,1470000,1554216.867,14,1.6,6.0,0.0,1.0,1,A,F,K,B,L,W,V,W
11000,4648000,5777528.09,4,2.5,4.0,6.0,1.0,2,A,F,B,B,S,4,T,1
11001,2775000,3064285.714,4,1.8,1.0,8.0,5.0,2,A,F,K,B,L,K,L,1
11002,5500000,6448275.862,4,2.5,6.0,0.0,0.0,3,M,A,V,D,P,M,R,0
11003,1300000,1698863.636,15,2.5,2.0,2.0,9.0,1,A,F,K,B,M,K,N,E
11004,1400000,1679487.179,13,1.8,3.0,1.0,4.0,1,M,F,K,B,S,W,V,W
11005,6150000,6346428.571,9,2.7,4.0,8.0,3.0,2,A,A,V,B,V,J,T,E
11006,3119000,3429761.905,3,1.6,9.0,2.0,1.0,2,A,F,V,B,S,K,M,H
11007,3408000,3997530.864,3,1.8,4.0,8.0,2.0,2,M,F,V,B,M,K,L,1
11008,2806000,3212195.122,9,1.8,9.0,8.0,4.0,1,A,F,V,B,S,S,B,1
11009,1310000,1421839.08,18,3.0,5.0,1.0,5.0,1,A,F,V,B,S,J,N,1
11010,3647000,3897619.048,8,2.7,2.0,3.0,6.0,2,A,A,V,BG,V,J,S,3
11011,2837000,3467948.718,9,2.4,2.0,5.0,1.0,1,A,F,V,B,S,4,T,1
11012,2812000,3551282.051,9,2.4,7.0,2.0,1.0,1,A,F,V,B,S,4,T,1
11013,1702000,2128048.78,15,2.0,5.0,9.0,7.0,1,A,A,V,D,C,K,M,H
11014,1500000,1689534.884,18,2.4,1.0,9.0,5.0,1,A,B,K,B,S,W,D,B
11015,2907000,3677777.778,8,2.4,4.0,0.0,9.0,2,A,F,V,B,S,6,T,1
11016,4623000,5339743.59,11,4.0,0.0,9.0,3.0,1,A,A,V,B,V,M,R,1
11017,8400000,8905882.353,6,3.5,3.0,9.0,8.0,3,A,A,K,B,C,J,T,J
11018,3307000,3523809.524,9,2.0,3.0,6.0,2.0,2,A,A,K,BG,C,S,J,N
11019,3287000,4304938.272,12,3.3,0.0,5.0,4.0,1,A,A,V,B,C,J,T,E
11020,4270000,4788095.238,9,3.0,1.0,1.0,4.0,2,A,B,K,B,S,J,T,H
11021,2776000,2960919.54,5,2.0,7.0,1.0,8.0,1,A,F,V,B,S,K,N,A
11022,2099000,2589534.884,13,3.5,4.0,3.0,8.0,1,A,F,K,B,C,J,N,8
11023,5173000,6017721.519,9,3.5,1.0,1.0,5.0,2,A,F,K,B,C,J,T,E
11024,2673000,3170238.095,11,3.0,6.0,0.0,2.0,2,A,F,K,B,S,J,T,D
11025,2458000,2638095.238,8,1.6,2.0,5.0,3.0,2,A,F,V,B,S,J,T,N
11026,3132000,3497752.809,14,3.0,5.0,4.0,3.0,2,A,F,K,B,C,J,T,E
11027,3080000,3890476.19,10,3.0,1.0,3.0,6.0,2,A,B,V,B,U,W,D,B
11028,2200000,2785057.471,12,2.5,4.0,9.0,9.0,3,M,A,V,D,V,J,M,B
11029,2700000,2925555.556,1,1.6,6.0,6.0,1.0,3,M,F,V,B,S,X,W,8
11030,13500000,15846511.63,3,5.6,4.0,0.0,4.0,1,A,A,K,B,V,J,N,1
11031,3001000,4235802.469,11,3.0,3.0,2.0,8.0,1,A,B,K,B,S,J,T,H
11032,1200000,2770786.517,14,2.5,4.0,8.0,0.0,2,A,A,V,D,C,K,N,A
11033,5225000,5731578.947,2,2.4,6.0,3.0,2.0,3,A,F,K,B,S,K,N,A
11034,5443000,6358333.333,9,2.7,8.0,1.0,3.0,2,A,A,V,B,V,J,T,E
11035,5700000,5935164.835,4,2.5,6.0,5.0,3.0,1,A,F,K,B,S,J,T,N
11036,1545000,1830769.231,16,2.5,3.0,0.0,2.0,1,A,A,V,B,U,4,S,3
11037,2881000,3248809.524,9,2.4,9.0,0.0,7.0,2,A,F,V,B,S,4,T,1
11038,5910000,6205494.505,3,2.5,9.0,7.0,1.0,1,A,F,K,B,S,X,W,7
11039,7301000,7642857.143,2,2.7,5.0,3.0,7.0,2,M,A,V,BG,P,M,R,0
11040,5500000,6125000.0,2,1.8,5.0,0.0,6.0,2,A,F,V,B,L,T,M,B
11041,3000000,3365555.556,7,1.4,7.0,0.0,7.0,3,M,F,V,B,M,W,V,2
11042,1592000,1885882.353,13,3.0,5.0,8.0,2.0,2,A,F,V,B,S,J,N,1
11043,3000000,3060714.286,7,2.5,7.0,2.0,2.0,2,A,F,V,B,S,1,Y,V
11044,5850000,5863000.0,4,2.5,1.0,2.0,6.0,3,A,F,K,B,S,X,W,7
11045,8500000,8994382.022,6,3.7,9.0,2.0,0.0,2,A,A,K,BG,V,J,N,1
11046,2430000,2532911.392,15,3.2,1.0,9.0,5.0,2,A,A,K,B,V,4,J,G
11047,2943000,3504761.905,9,2.4,5.0,0.0,6.0,2,A,F,K,B,S,4,T,1
11048,2908000,3697435.897,10,2.4,2.0,2.0,5.0,1,A,F,V,B,S,4,T,1
11049,4538000,5805063.291,10,3.5,2.0,5.0,4.0,2,A,B,K,B,S,W,D,D
11050,1123000,1248809.524,15,1.4,2.0,4.0,8.0,2,M,F,V,B,L,W,V,W
11051,3296000,3467708.333,1,1.6,2.0,7.0,8.0,3,A,F,V,B,S,Z,9,4
11052,3700000,3656790.123,10,3.5,4.0,7.0,6.0,1,A,F,V,B,C,J,T,M
11053,2700000,3160975.61,10,3.5,5.0,7.0,8.0,1,M,A,V,B,V,K,M,H
11054,2278000,2656626.506,3,1.4,6.0,0.0,1.0,1,A,F,V,B,S,Z,9,4
11055,3300000,3622222.222,3,1.4,3.0,4.0,9.0,2,M,F,V,B,L,T,M,B
11056,2937000,3305813.953,8,2.0,7.0,8.0,4.0,3,A,A,V,BG,C,K,M,H
11057,3967000,4657471.264,3,1.6,9.0,1.0,5.0,3,A,F,V,B,C,S,J,N
11058,2304000,2775903.614,2,1.6,4.0,5.0,3.0,1,M,F,V,B,S,Z,9,4
11059,2300000,2090476.19,6,1.6,9.0,8.0,9.0,2,A,F,V,B,L,X,W,F
11060,2000000,2091011.236,15,2.5,5.0,8.0,4.0,2,M,B,K,B,S,W,B,A
11061,2194000,2019753.086,17,3.0,6.0,3.0,4.0,2,A,A,V,BG,V,J,A,4
11062,2066000,2625925.926,15,2.0,7.0,1.0,3.0,1,A,A,V,B,C,J,T,E
11063,2401000,2639024.39,12,2.4,6.0,4.0,8.0,1,A,F,V,B,S,J,T,D
11064,2800000,3142222.222,5,1.5,3.0,1.0,1.0,3,A,F,V,B,L,J,H,M
11065,1941000,1955952.381,10,1.8,3.0,1.0,6.0,2,A,F,V,B,S,J,H,M
